nct_id,Type,Criterion
NCT05668741,Inclusion,CFTR gene mutations on both alleles that are not responsive to CFTR modulator therapy
NCT05668741,Inclusion,"Forced expiratory volume in 1 second (FEV1) value for SAD: greater than or equal to (≥)40 percent (%), MAD: ≥ 40% to less than or equal to (≤) 90%"
NCT05668741,Exclusion,History of uncontrolled asthma within a year prior to screening
NCT05668741,Exclusion,History of solid organ or hematological transplantation
NCT05668741,Exclusion,"Hepatic cirrhosis with portal hypertension, moderate hepatic impairment (Child Pugh Score 7 to 9), or severe hepatic impairment (Child Pugh Score 10 to 15)"
NCT05668741,Exclusion,Arterial oxygen saturation on room air less than (<) 94% at screening
NCT05422222,Inclusion,Participants with stable CF and at least 1 TCR mutation (including F508del) in the CFTR gene
NCT05422222,Exclusion,"History of solid organ, hematological transplantation, or cancer"
NCT05422222,Exclusion,"Hepatic cirrhosis with portal hypertension, moderate hepatic impairment (Child Pugh Score 7 to 9), or severe hepatic impairment (Child Pugh Score 10 to 15)"
NCT05422222,Exclusion,Lung infection with organisms associated with a more rapid decline in pulmonary status
NCT06981091,Inclusion,Male or female paticipants aged 18-85 years (inclusive) ;
NCT06981091,Inclusion,"Chest HRCT shows bronchiectasis affecting one or more lobes, and the condition is clinically diagnosed as non-cystic fibrosis bronchiectasis"
NCT06981091,Inclusion,"Based on medical history and the determination of the investigator , participants have at least 2 documented pulmonary exacerbations in the past 12 months before Screening;"
NCT06981091,Inclusion,Are current sputum producers with a history of chronic expectoration and able to provide a spontaneous sputum sample at screening visit (as described by the patient) ;
NCT06981091,Inclusion,The body mass index (BMI) is ≥18 kg/m2 at screening;
NCT06981091,Exclusion,Have a primary diagnosis of chronic obstructive pulmonary disease (COPD) or asthma
NCT06981091,Exclusion,"Have bronchiectasis due to cystic fibrosis (CF), hypogammaglobulinemia, common variable immunodeficiency, or alpha1-antitrypsin deficiency"
NCT06981091,Exclusion,"Are currently being treated for a nontuberculous mycobacterial lung infection, allergic bronchopulmonary aspergillosis, or tuberculosis"
NCT06981091,Exclusion,"Have any acute infections, (including respiratory infections)"
NCT06981091,Exclusion,Patients who have previously received therapy with DPP1 inhibitors of the same class
NCT06413368,Inclusion,Age between 1-18 years
NCT06413368,Inclusion,Proven diagnosis of Cystic Fibrosis (via genetic testing or sweat chloride testing)
NCT06413368,Inclusion,Proven diagnosis of Chronic constipation (Bristol stool scale rating of < 3 while on stable conventional therapy regimen)
NCT06413368,Inclusion,"On stable (no medication changes or dose adjustments) conventional constipation medication regimen for chronic constipation (stool softeners, stimulant laxatives, dietary interventions) for at least 4 weeks."
NCT06413368,Exclusion,"Uncontrolled fat-soluble vitamin deficiency (Vitamin A, E, D, or K)"
NCT06413368,Exclusion,Adequately treated chronic constipation on conventional regimen (Bristol stool scale rating of > 3)
